EAR,mouth_ratio,head_tilt,eye_closure_time,no_movement_time,label
0.111,0.134,30.1,4.32,6.75,unconscious
0.264,0.267,3.7,0.16,0.0,alert
0.159,0.196,23.9,7.11,8.44,unconscious
0.339,0.268,0.7,0.0,1.34,alert
0.123,0.708,12.0,2.18,1.61,drowsy
0.12,0.522,21.0,5.3,1.41,unconscious
0.216,0.55,15.1,1.23,2.86,drowsy
0.181,0.0,12.8,5.7,7.99,unconscious
0.254,0.7,14.0,2.06,2.39,drowsy
0.301,0.234,6.1,0.45,0.0,alert
0.24,0.041,5.8,0.15,0.86,alert
0.146,0.427,15.4,0.28,8.4,unconscious
0.177,0.639,4.1,2.0,5.97,drowsy
0.263,0.29,7.9,0.55,0.96,alert
0.18,0.379,14.6,5.19,8.43,unconscious
0.445,0.261,16.7,5.45,8.76,unconscious
0.114,0.289,24.9,5.8,6.7,unconscious
0.255,0.085,9.3,0.11,0.8,alert
0.129,0.637,12.6,0.0,4.23,drowsy
0.241,1.0,7.4,0.29,3.49,drowsy
0.106,0.781,11.7,2.68,2.85,drowsy
0.2,0.328,12.8,3.82,3.18,unconscious
0.153,0.353,30.7,3.02,7.5,unconscious
0.313,0.36,1.3,0.34,0.95,alert
0.154,0.52,9.5,2.07,1.79,drowsy
0.118,0.598,24.4,7.47,2.85,unconscious
0.249,0.795,13.4,3.64,5.7,drowsy
0.193,0.761,3.4,4.44,3.23,drowsy
0.277,0.332,3.6,0.25,0.0,alert
0.129,1.0,27.1,5.52,13.47,unconscious
0.237,0.321,4.9,0.2,0.42,alert
0.259,0.897,31.7,7.7,2.31,unconscious
0.254,0.283,1.7,0.05,0.39,alert
0.342,0.396,3.3,0.33,0.31,alert
0.269,0.302,3.9,0.34,0.0,alert
0.285,0.374,2.6,0.2,0.83,alert
0.272,0.347,7.7,0.2,0.27,alert
0.184,0.403,23.1,9.22,5.42,unconscious
0.193,0.595,8.4,0.3,3.6,drowsy
0.219,0.338,5.3,0.36,0.13,alert
0.176,0.533,2.3,2.69,3.1,drowsy
0.331,0.337,6.0,0.0,0.31,alert
0.416,0.239,12.4,4.35,9.0,alert
0.279,0.431,4.9,0.0,0.2,alert
0.403,0.211,1.0,0.55,0.0,alert
0.112,0.23,28.9,7.54,5.64,unconscious
0.101,0.433,22.5,2.73,6.8,unconscious
0.289,0.138,9.4,0.0,0.0,alert
0.287,0.313,5.7,0.02,0.66,alert
0.05,0.362,25.1,3.47,8.5,unconscious
0.268,0.417,7.6,0.26,0.72,alert
0.131,0.53,10.0,0.27,0.72,drowsy
0.162,0.533,15.0,1.43,1.94,drowsy
0.279,0.54,4.3,0.14,0.38,alert
0.184,0.606,7.6,1.93,2.42,drowsy
0.101,0.275,24.9,5.53,5.08,unconscious
0.156,0.384,24.9,5.08,13.13,unconscious
0.165,0.909,21.3,3.13,10.55,unconscious
0.302,0.501,7.4,0.78,1.34,alert
0.311,0.6,24.3,2.07,2.62,drowsy
0.216,0.617,14.4,1.77,0.44,drowsy
0.072,0.916,10.8,0.81,11.4,unconscious
0.201,0.475,12.4,2.53,3.95,drowsy
0.096,0.565,23.7,3.2,7.77,unconscious
0.099,0.673,6.0,2.01,1.71,drowsy
0.05,0.272,8.9,7.42,5.76,unconscious
0.356,0.512,8.1,0.76,3.86,drowsy
0.247,0.428,18.8,2.06,2.23,drowsy
0.107,0.402,19.2,6.25,9.84,unconscious
0.181,0.724,11.9,1.25,3.16,drowsy
0.179,0.621,16.9,2.73,3.86,drowsy
0.275,0.372,3.2,0.11,0.0,alert
0.136,0.306,25.2,3.9,10.9,unconscious
0.169,0.233,19.4,5.72,8.89,unconscious
0.291,0.186,6.4,0.57,0.0,alert
0.079,0.597,36.1,6.22,7.91,unconscious
0.185,0.471,19.8,0.0,3.4,drowsy
0.342,0.306,6.7,0.45,0.63,alert
0.215,0.341,4.5,0.41,1.09,alert
0.29,0.3,6.3,0.13,0.6,alert
0.179,0.339,31.5,5.04,8.27,unconscious
0.171,0.469,11.6,0.94,2.31,drowsy
0.12,0.203,19.3,6.71,5.27,unconscious
0.328,0.507,5.3,0.12,0.72,alert
0.258,0.239,2.2,0.29,0.26,alert
0.287,0.69,12.8,1.59,4.2,drowsy
0.106,0.501,37.7,7.94,9.79,unconscious
0.284,0.229,6.0,0.0,0.0,alert
0.132,0.533,26.7,5.14,14.62,unconscious
0.232,0.624,14.4,1.62,1.79,drowsy
0.282,0.307,3.7,0.0,1.05,alert
0.237,0.263,1.6,0.47,1.02,alert
0.269,0.42,8.2,0.17,0.66,alert
0.14,0.407,37.1,4.75,6.67,unconscious
0.205,0.618,15.4,2.01,4.17,drowsy
0.166,0.687,30.5,3.59,6.98,unconscious
0.181,0.577,4.1,1.17,3.0,drowsy
0.16,0.535,5.6,7.56,0.15,unconscious
0.23,0.489,4.6,1.93,3.82,drowsy
0.324,0.602,17.7,0.0,3.07,drowsy
0.109,0.888,35.8,1.0,9.58,unconscious
0.13,0.517,26.3,4.37,6.14,unconscious
0.149,0.571,7.8,3.39,1.94,drowsy
0.153,0.254,29.9,5.15,1.95,unconscious
0.309,0.34,7.0,0.0,0.38,alert
0.22,0.809,10.1,0.0,2.49,drowsy
0.144,0.046,32.8,7.88,8.2,unconscious
0.272,0.586,19.5,2.28,1.11,drowsy
0.18,0.774,17.7,3.29,1.91,drowsy
0.304,0.326,4.1,0.0,0.6,alert
0.203,1.0,21.8,1.98,0.78,drowsy
0.178,0.18,35.8,5.07,12.58,unconscious
0.221,0.283,2.5,0.41,0.97,alert
0.252,0.29,6.6,0.0,0.0,alert
0.2,0.721,8.8,8.89,6.32,unconscious
0.208,0.88,1.3,3.45,0.24,drowsy
0.241,0.526,16.3,0.62,0.77,drowsy
0.31,0.425,5.8,0.73,0.78,alert
0.298,0.322,1.7,0.26,0.75,alert
0.285,0.359,0.7,0.08,1.26,alert
0.122,0.498,29.7,4.1,7.95,unconscious
0.13,0.117,44.6,4.93,5.68,unconscious
0.134,0.302,17.0,5.51,8.83,unconscious
0.137,0.867,18.4,1.86,11.67,unconscious
0.297,0.112,6.8,0.38,0.37,alert
0.263,0.273,7.8,0.0,0.83,alert
0.089,0.518,12.7,4.22,4.59,unconscious
0.215,0.798,23.8,2.42,0.82,drowsy
0.193,0.59,19.2,2.31,2.08,drowsy
0.206,0.29,6.2,0.0,0.76,alert
0.198,0.307,2.0,0.27,0.93,alert
0.39,0.505,35.4,5.62,7.08,unconscious
0.347,0.441,4.3,0.15,0.56,alert
0.336,0.364,4.9,0.35,0.98,alert
0.201,1.0,9.2,0.0,1.45,drowsy
0.25,0.385,6.4,0.08,0.14,alert
0.207,0.682,11.8,1.79,3.02,drowsy
0.23,0.159,8.6,0.78,0.75,alert
0.278,0.281,0.5,0.8,0.35,alert
0.23,0.693,13.7,1.47,2.5,drowsy
0.248,0.286,8.4,0.52,0.94,alert
0.197,0.638,17.9,1.95,1.4,drowsy
0.185,0.669,19.4,0.24,0.24,drowsy
0.216,0.796,14.4,2.25,3.62,drowsy
0.069,0.689,33.6,5.56,8.86,unconscious
0.257,0.464,6.9,0.3,0.0,alert
0.215,0.534,18.3,1.95,5.31,drowsy
0.151,0.361,25.9,5.39,10.6,unconscious
0.28,0.583,15.0,7.07,6.68,drowsy
0.149,0.494,17.4,1.95,3.64,drowsy
0.275,0.737,18.3,0.92,4.21,drowsy
0.154,0.165,38.4,7.04,6.32,unconscious
0.234,0.813,8.7,0.89,2.71,drowsy
0.204,0.523,26.8,6.27,6.12,unconscious
0.211,0.415,8.8,1.93,0.81,drowsy
0.05,0.583,22.9,7.22,8.63,unconscious
0.267,0.302,10.4,0.05,0.91,alert
0.111,0.275,22.3,7.81,11.41,unconscious
0.264,0.373,8.1,0.0,1.12,alert
0.256,0.251,2.1,0.56,0.59,alert
0.112,0.372,22.7,7.64,5.16,unconscious
0.326,0.6,1.5,2.04,2.39,drowsy
0.092,0.282,29.3,5.34,7.39,unconscious
0.161,0.228,43.9,3.18,4.87,unconscious
0.278,0.373,0.2,0.29,0.75,alert
0.368,0.239,3.8,0.35,0.65,alert
0.175,0.4,3.1,0.0,0.28,alert
0.3,0.44,3.0,0.0,0.07,alert
0.184,0.96,5.0,1.96,2.81,drowsy
0.086,0.862,4.6,6.96,5.99,alert
0.16,0.453,10.2,0.66,5.25,drowsy
0.159,0.286,24.9,4.69,14.45,unconscious
0.229,0.16,26.9,6.14,7.53,unconscious
0.291,0.264,6.2,6.96,1.1,unconscious
0.243,0.03,10.3,0.02,1.05,alert
0.171,0.463,12.9,7.31,9.0,unconscious
0.293,0.329,4.1,0.3,0.9,alert
0.25,0.771,2.8,2.7,4.05,drowsy
0.233,0.659,12.5,2.98,1.34,drowsy
0.265,0.429,9.6,2.42,4.42,drowsy
0.121,0.58,4.2,1.27,6.04,drowsy
0.154,0.376,28.5,5.63,9.35,unconscious
0.116,0.622,22.4,1.78,14.71,unconscious
0.086,0.257,5.0,5.71,3.62,unconscious
0.319,0.315,7.7,0.62,0.74,alert
0.129,0.0,12.4,5.29,11.85,unconscious
0.139,0.515,12.2,0.96,3.25,drowsy
0.05,0.388,24.9,5.9,3.53,unconscious
0.271,0.339,5.6,0.0,0.8,alert
0.405,0.095,28.4,1.76,3.0,drowsy
0.27,0.254,6.4,0.95,0.1,alert
0.271,0.927,12.7,1.94,3.71,drowsy
0.299,0.344,4.9,0.89,0.77,alert
0.146,0.776,15.9,2.37,1.27,drowsy
0.196,0.425,21.7,1.21,3.46,drowsy
0.138,0.335,26.3,8.36,9.74,unconscious
0.113,0.217,37.5,3.56,8.13,unconscious
0.192,0.699,6.9,2.94,3.25,drowsy
0.321,0.273,10.5,0.0,0.65,alert
0.291,0.773,0.6,1.72,4.16,drowsy
0.115,0.135,27.9,4.77,10.29,unconscious
0.141,0.773,23.9,6.44,9.62,unconscious
0.233,0.527,7.1,2.98,4.12,drowsy
0.247,0.618,15.5,3.08,2.77,drowsy
0.261,0.216,11.3,0.0,0.66,alert
0.13,0.467,23.9,3.75,4.75,unconscious
0.161,0.674,8.3,1.66,3.61,drowsy
0.232,0.594,14.3,6.1,1.36,unconscious
0.306,0.191,6.6,0.24,0.57,alert
0.272,0.315,7.2,0.32,1.31,alert
0.218,0.649,12.4,1.68,5.27,drowsy
0.173,0.588,25.2,3.68,6.98,unconscious
0.192,0.635,10.7,1.54,1.32,drowsy
0.27,0.264,4.3,0.33,1.13,alert
0.201,0.49,31.7,11.19,4.49,unconscious
0.129,0.556,17.8,2.58,0.34,drowsy
0.179,0.771,14.3,0.78,6.26,drowsy
0.15,0.856,3.3,0.47,2.38,drowsy
0.095,0.176,20.6,9.1,12.07,unconscious
0.338,0.461,10.2,0.0,0.83,alert
0.072,0.473,13.8,3.83,10.22,unconscious
0.062,0.095,14.5,4.51,6.92,unconscious
0.214,0.833,8.1,1.27,2.79,drowsy
0.249,0.86,10.9,2.96,2.5,drowsy
0.233,0.649,20.3,1.12,3.74,drowsy
0.152,0.297,23.2,9.88,1.79,unconscious
0.284,0.198,4.3,0.58,0.67,alert
0.3,0.56,2.9,0.03,0.65,alert
0.171,0.518,18.9,6.53,10.39,unconscious
0.22,0.661,23.8,4.67,10.99,unconscious
0.301,0.28,9.4,0.24,0.31,alert
0.174,0.34,35.3,5.33,10.91,unconscious
0.191,0.669,5.8,1.14,0.21,drowsy
0.095,0.076,31.5,5.91,7.37,unconscious
0.245,0.566,22.5,5.05,10.96,unconscious
0.296,0.298,6.7,0.0,0.0,alert
0.236,0.811,16.5,0.0,0.75,drowsy
0.162,0.883,0.5,2.5,3.37,alert
0.148,0.749,17.5,1.94,9.59,unconscious
0.202,0.511,29.1,5.86,11.52,unconscious
0.326,0.253,4.3,0.45,0.62,alert
0.129,0.344,33.6,3.46,8.56,unconscious
0.137,0.291,20.0,5.12,11.37,unconscious
0.14,0.568,23.6,5.66,4.18,unconscious
0.174,0.569,26.1,8.51,8.3,unconscious
0.4,0.019,16.6,2.13,1.99,unconscious
0.27,0.658,13.4,0.81,0.49,drowsy
0.171,0.077,24.1,8.57,9.25,unconscious
0.185,0.82,21.5,3.55,1.12,drowsy
0.16,0.531,19.7,1.91,11.74,unconscious
0.137,0.451,26.3,3.28,6.92,unconscious
0.316,0.392,6.3,0.7,0.0,alert
0.231,0.37,0.6,0.12,0.5,alert
0.315,0.426,0.8,0.0,0.5,alert
0.086,0.46,31.6,5.6,7.68,unconscious
0.15,0.476,30.0,3.51,4.64,unconscious
0.146,0.377,37.0,3.02,11.78,unconscious
0.149,0.544,37.9,4.05,13.54,unconscious
0.193,0.671,12.1,1.95,3.05,drowsy
0.257,0.225,8.1,0.24,0.79,alert
0.18,0.611,10.2,2.39,1.17,drowsy
0.332,0.438,5.2,0.0,1.32,alert
0.251,0.239,4.2,0.0,0.49,alert
0.225,0.536,15.5,2.95,1.96,drowsy
0.143,0.584,34.3,9.69,11.08,unconscious
0.241,0.672,10.8,3.09,4.79,drowsy
0.165,0.381,19.7,4.66,7.21,unconscious
0.145,0.778,23.3,4.38,9.82,unconscious
0.197,0.287,3.9,0.33,0.98,alert
0.245,0.598,8.4,1.61,3.19,drowsy
0.32,0.416,4.6,0.21,0.65,alert
0.227,0.292,3.1,0.1,0.65,alert
0.328,0.219,4.4,0.14,0.98,alert
0.081,0.242,22.1,7.44,5.74,drowsy
0.109,0.358,26.4,3.23,6.51,unconscious
0.182,0.623,17.4,6.57,6.95,unconscious
0.156,0.33,2.7,3.73,7.63,unconscious
0.32,0.183,1.3,0.19,0.39,alert
0.235,0.245,9.4,0.49,0.84,alert
0.305,0.36,7.5,0.45,0.3,alert
0.106,0.318,22.9,5.5,7.26,unconscious
0.196,0.62,12.4,0.64,2.11,drowsy
0.191,0.452,15.6,0.43,2.53,drowsy
0.156,0.404,11.7,3.1,4.44,unconscious
0.256,0.299,4.5,0.31,0.87,alert
0.258,0.399,2.0,0.0,0.0,alert
0.205,0.86,18.0,0.0,4.87,drowsy
0.147,0.387,10.8,3.84,2.97,drowsy
0.297,0.252,3.1,0.43,0.0,alert
0.114,0.628,25.8,3.45,7.46,unconscious
0.189,0.483,15.9,1.77,4.15,drowsy
0.095,0.338,28.9,5.91,10.85,unconscious
0.294,0.308,2.5,0.0,1.1,alert
0.299,0.202,0.7,0.0,1.67,alert
0.271,0.335,7.5,0.37,0.54,alert
0.248,0.503,16.7,2.05,2.67,drowsy
0.13,0.401,34.4,5.76,11.69,unconscious
0.34,0.373,4.6,0.37,0.39,alert
0.232,0.647,13.6,3.32,1.53,drowsy
0.151,0.473,13.4,4.41,14.13,unconscious
0.18,0.731,11.4,1.82,3.58,drowsy
0.276,0.242,7.6,0.25,0.21,alert
0.169,0.597,4.4,2.75,0.26,drowsy
0.129,0.154,35.2,7.15,9.29,unconscious
0.277,0.24,2.2,0.03,0.66,alert
0.299,0.83,17.5,0.15,3.43,drowsy
0.214,0.26,8.2,0.28,0.0,alert
0.143,0.652,17.2,6.08,10.15,unconscious
0.166,0.568,17.4,2.58,3.63,drowsy
0.282,0.387,5.1,0.11,1.28,alert
0.191,0.848,16.0,1.08,3.4,drowsy
0.24,0.306,5.0,0.53,0.12,alert
0.221,0.524,12.8,1.88,3.58,drowsy
0.112,0.469,22.6,2.79,3.81,drowsy
0.314,0.707,6.5,3.07,2.89,drowsy
0.182,0.567,7.8,3.47,2.41,drowsy
0.261,0.377,7.6,0.3,0.87,alert
0.276,0.14,3.1,0.45,0.69,alert
0.374,0.77,38.8,7.97,2.41,alert
0.187,0.528,25.4,4.76,10.3,unconscious
0.077,0.114,16.3,4.18,11.63,unconscious
0.3,0.611,13.8,2.92,2.43,drowsy
0.214,0.542,18.4,1.68,4.57,drowsy
0.14,0.647,21.8,3.32,9.88,unconscious
0.158,0.239,27.3,6.4,6.27,unconscious
0.069,0.616,23.9,3.54,4.76,unconscious
0.302,0.308,3.5,0.34,1.88,alert
0.111,0.238,36.4,8.89,5.87,unconscious
0.315,0.261,3.6,0.57,0.4,alert
0.271,0.867,0.9,0.81,3.47,drowsy
0.098,0.565,15.5,3.17,5.38,unconscious
0.335,0.39,13.5,4.19,8.7,drowsy
0.288,0.116,29.2,1.42,9.98,alert
0.179,1.0,13.1,3.28,4.38,drowsy
0.249,0.279,9.3,0.0,0.82,alert
0.318,0.49,5.6,0.0,0.75,alert
0.157,0.251,26.9,4.96,10.83,unconscious
0.119,0.762,9.6,0.75,4.05,drowsy
0.314,0.463,7.1,0.48,0.46,alert
0.238,0.302,2.9,0.08,1.25,alert
0.248,0.85,7.7,1.63,2.98,drowsy
0.24,0.786,14.9,2.61,2.4,drowsy
0.43,0.426,7.5,4.11,0.34,alert
0.157,0.67,8.7,2.58,3.45,drowsy
0.289,0.523,6.1,0.27,1.16,alert
0.323,0.256,7.3,0.0,0.22,alert
0.3,0.232,2.2,0.0,0.91,alert
0.273,0.862,21.9,1.28,0.11,drowsy
0.245,0.625,7.3,1.63,3.55,drowsy
0.166,0.732,35.6,5.49,7.78,unconscious
0.093,0.685,36.0,5.8,9.48,unconscious
0.262,0.817,11.9,3.95,4.1,drowsy
0.171,0.425,32.7,5.27,2.52,unconscious
0.273,0.586,9.3,3.3,2.64,drowsy
0.311,0.203,5.8,0.61,0.0,alert
0.202,0.167,6.4,0.65,0.6,alert
0.23,0.434,5.4,2.49,4.54,drowsy
0.23,0.209,6.4,0.86,0.89,alert
0.183,0.596,8.3,0.74,5.52,drowsy
0.268,0.339,5.4,0.0,0.34,alert
0.256,0.274,7.4,0.0,0.93,alert
0.15,0.354,8.7,0.0,0.88,alert
0.144,0.343,26.2,5.73,9.73,unconscious
0.269,0.52,11.2,2.2,4.23,drowsy
0.151,0.616,10.8,1.29,2.63,drowsy
0.241,0.655,13.8,0.13,4.03,drowsy
0.24,0.803,11.8,0.0,4.05,drowsy
0.14,0.249,19.9,3.97,10.41,unconscious
0.309,0.419,5.9,0.0,0.83,alert
0.119,0.45,29.8,6.99,6.45,unconscious
0.254,0.319,11.0,0.23,0.0,alert
0.283,0.298,9.1,0.08,0.0,alert
0.227,0.501,0.5,0.18,0.66,alert
0.113,0.058,15.0,5.04,7.6,unconscious
0.127,0.396,27.4,7.55,11.77,unconscious
0.282,0.27,7.6,0.31,1.58,alert
0.172,0.626,17.4,1.05,3.41,drowsy
0.231,0.182,6.0,0.38,0.0,alert
0.183,0.452,12.1,2.21,2.16,drowsy
0.17,0.464,13.1,2.04,4.62,drowsy
0.181,0.524,10.2,2.14,4.09,drowsy
